cnn,st_name,st_type,cnntext,the_geom,data_as_of,data_loaded_at,Current Supervisor Districts,Analysis Neighborhoods,SF Find Neighborhoods,Current Police Districts
53005000,UNNAMED 113,,53005000,POINT (-122.483736866 37.720691451),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,16,42,10
21887000,RANDALL,ST,21887000,POINT (-122.428736128 37.740121826),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,59,9
26836000,MASONIC,AVE,26836000,POINT (-122.447301514 37.782391642),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,18,12,8
21465000,GUTTENBERG,ST,21465000,POINT (-122.443000412 37.70993461),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,58,9
24413000,10TH,ST,24413000,POINT (-122.415371609 37.774844085),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
27328000,LOMITA,AVE,27328000,POINT (-122.473442608 37.75684474),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,14,44,10
25957000,GROVE,ST,25957000,POINT (-122.431384423 37.776759678),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,9,22,4
20316000,DESMOND,ST,20316000,POINT (-122.405209039 37.710682827),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,75,9
20321000,SAN BRUNO,AVE,20321000,POINT (-122.402097908 37.712994842),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,75,9
25642000,NELLIE,ST,25642000,POINT (-122.428165307 37.753256908),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,52,3
27775000,MORAGA,ST,27775000,POINT (-122.502318146 37.754953129),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
21732000,LONDON,ST,21732000,POINT (-122.439640305 37.716958531),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
24908000,POST,ST,24908000,POINT (-122.406771144 37.788499479),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,8,19,6
26608000,BUSH,ST,26608000,POINT (-122.433459916 37.787020667),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,30,103,4
25132000,PACIFIC,AVE,25132000,POINT (-122.415005455 37.795877319),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,107,6
27812000,29TH,AVE,27812000,POINT (-122.488606124 37.774241084),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
27778000,KIRKHAM,ST,27778000,POINT (-122.502581702 37.758700162),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
54358000,GLENVIEW,DR,54358000,POINT (-122.444441185 37.749137561),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,38,51,7
50262000,DODGE,ST,50262000,POINT (-122.416888564 37.781954088),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,20,5
27253000,MUSIC CONCOURSE,DR,27253000,POINT (-122.468334204 37.76877653),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,12,9,8
21061000,CORTLAND,AVE,21061000,POINT (-122.410733343 37.739792481),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
23486000,44TH,AVE,23486000,POINT (-122.502870422 37.747462246),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
26736000,BUCHANAN,ST,26736000,POINT (-122.432486857 37.798905131),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,15,4
32826000,ROSSI,AVE,32826000,POINT (-122.456298677 37.7787179),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,18,12,8
32894000,SLOAT,BLVD,32894000,POINT (-122.494375692 37.733788415),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,35,43,10
21832000,HIGHLAND,AVE,21832000,POINT (-122.425510251 37.737753779),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,59,9
24581000,BONIFACIO,ST,24581000,POINT (-122.399349286 37.782595912),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
52307000,I-80 WESTBOUND,,52307000,POINT (-122.388125845 37.788553802),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,8,30,1
21745000,LEO,ST,21745000,POINT (-122.436468165 37.722465218),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,90,9
25500000,VALPARAISO,ST,25500000,POINT (-122.414855178 37.801165173),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,32,107,6
27554000,GEARY,BLVD,27554000,POINT (-122.485807576 37.780037953),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
26406000,BELVEDERE,ST,26406000,POINT (-122.449073898 37.766872125),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,3,29,7
20413000,VELASCO,AVE,20413000,POINT (-122.418501191 37.709708838),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,74,9
22456000,SICKLES,AVE,22456000,POINT (-122.455815738 37.711222853),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
27052000,DEVONSHIRE,WAY,27052000,POINT (-122.45956451 37.755933684),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,14,110,7
51092000,HAROLD,AVE,51092000,POINT (-122.453086154 37.718933835),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,64,10
22070000,OCEAN,AVE,22070000,POINT (-122.441050163 37.723342146),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,94,9
27263000,FULTON,ST,27263000,POINT (-122.469092496 37.773256712),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,5,8
27658000,LAKE,ST,27658000,POINT (-122.486223795 37.785697129),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,33,1,8
23774000,KANSAS,ST,23774000,POINT (-122.403527034 37.76472287),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,54,1
32849000,JOHN F KENNEDY,DR,32849000,POINT (-122.496160675 37.769291825),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,9,8
50566000,26TH,AVE,50566000,POINT (-122.482857901 37.737914305),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
24464000,POLK,ST,24464000,POINT (-122.418708904 37.780773162),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,21,4
54067000,05TH,ST,54067000,POINT (-122.402519165 37.779571843),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
25674000,18TH,ST,25674000,POINT (-122.422955334 37.761617121),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,20,37,3
24773000,KEARNY,ST,24773000,POINT (-122.40487561 37.794859533),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,6,104,6
24969000,BUSH,ST,24969000,POINT (-122.406330947 37.790469608),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,8,104,6
22908000,SAN BUENAVENTURA,WAY,22908000,POINT (-122.465350961 37.734988926),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,116,10
25795000,DORLAND,ST,25795000,POINT (-122.430662304 37.762080881),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,37,3
22745000,DE SOTO,ST,22745000,POINT (-122.465229743 37.725319764),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,67,10
50537000,RECYCLING CENTER ACCESS,RD,50537000,POINT (-122.508328692 37.76552868),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,9,8
22952000,15TH,AVE,22952000,POINT (-122.47096273 37.737648905),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,46,10
24768000,BROADWAY,,24768000,POINT (-122.403863018 37.798222971),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,23,106,6
34065000,AVENUE N,,34065000,POINT (-122.365437023 37.826093452),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,36,1
51134000,SAN DIEGO,AVE,51134000,POINT (-122.466631573 37.707374093),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
26320000,CENTRAL,AVE,26320000,POINT (-122.443356055 37.768944235),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,3,112,7
26165000,HATTIE,ST,26165000,POINT (-122.440984701 37.761077985),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,115,3
27373000,LINCOLN,WAY,27373000,POINT (-122.476186637 37.765498441),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,12,9,10
33228000,MEADE,AVE,33228000,POINT (-122.396136473 37.71703793),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,88,2
33143000,WHITNEY YOUNG,CIR,33143000,POINT (-122.383407613 37.733236517),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
23497000,CUTLER,AVE,23497000,POINT (-122.506314139 37.73702273),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
51544000,SIBLEY,RD,51544000,POINT (-122.450352791 37.79332104),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
22242000,STAPLES,AVE,22242000,POINT (-122.452440011 37.729058244),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,71,9
26710000,FILBERT,ST,26710000,POINT (-122.427457295 37.799066685),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,15,4
26912000,EUCLID,AVE,26912000,POINT (-122.450135687 37.784480902),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,31,11,8
51656000,GILLETTE,AVE,51656000,POINT (-122.396229413 37.711662296),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,89,2
21484000,NIAGARA,AVE,21484000,POINT (-122.441691159 37.715572699),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,,9
50269000,STEVELOE,PL,50269000,POINT (-122.412295284 37.785428816),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,20,5
22893000,MAGELLAN,AVE,22893000,POINT (-122.462332556 37.745879046),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,45,10
33121000,DONAHUE,ST,33121000,POINT (-122.370711863 37.728189121),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,78,2
34073000,09TH TI,ST,34073000,POINT (-122.371042423 37.824815718),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,36,1
24327000,08TH,ST,24327000,POINT (-122.414143376 37.778240884),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,5
20402000,SAWYER,ST,20402000,POINT (-122.415963999 37.708995338),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,74,9
52133000,I-280 S OFF,RAMP,52133000,POINT (-122.447476767 37.72451438),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,95,9
51311000,INCINERATOR,RD,51311000,POINT (-122.465543951 37.801799333),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
22945000,WAWONA,ST,22945000,POINT (-122.467996973 37.740005654),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,46,10
33730000,JOHNSTONE,DR,33730000,POINT (-122.452895267 37.758062632),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,38,110,7
28261000,GELLERT,DR,28261000,POINT (-122.491262617 37.729229396),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,35,43,10
25090000,PINE,ST,25090000,POINT (-122.41391588 37.790463115),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,16,6
23174000,VICENTE,ST,23174000,POINT (-122.478644369 37.739183074),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
51185000,LINCOLN,BLVD,51185000,POINT (-122.473434611 37.806724297),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
21354000,27TH,ST,21354000,POINT (-122.422383536 37.747171915),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,83,9
32844000,BERCUT ACCESS,RD,32844000,POINT (-122.500471215 37.765786198),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,9,8
25715000,NOE,ST,25715000,POINT (-122.432484166 37.757820515),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,52,3
51746000,26TH,ST,51746000,POINT (-122.391035071 37.751363248),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,56,2
24326000,JONES,ST,24326000,POINT (-122.412220736 37.782073068),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,20,5
21897000,GUERRERO,ST,21897000,POINT (-122.422487364 37.74801345),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,20,52,3
51994000,MCKINLEY,AVE,51994000,POINT (-122.396737518 37.712806834),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,89,2
23373000,36TH,AVE,23373000,POINT (-122.493668152 37.738519208),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
20651000,HWY 101 S OFF,RAMP,20651000,POINT (-122.405085875 37.731236926),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,25,91,2
21788000,BOSWORTH,ST,21788000,POINT (-122.431956599 37.732993565),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,28,93,9
52128000,I-280 N ON,RAMP,52128000,POINT (-122.432026848 37.732056529),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,28,94,9
22199000,RIDGE,LN,22199000,POINT (-122.452231712 37.71876032),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
27768000,ORTEGA,ST,27768000,POINT (-122.503133003 37.751190358),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
27239000,05TH,AVE,27239000,POINT (-122.462683796 37.773759752),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,5,8
27937000,47TH,AVE,27937000,POINT (-122.506736536 37.75664586),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
51453000,FELIX,AVE,51453000,POINT (-122.472971226 37.717034647),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,16,42,10
35144000,HAHN,ST,35144000,POINT (-122.416338534 37.711162375),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,75,9
26703000,POLK,ST,26703000,POINT (-122.423844681 37.806221894),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,32,98,6
22060000,CAYUGA,AVE,22060000,POINT (-122.439764643 37.722069004),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,80,9
20626000,MERCURY,ST,20626000,POINT (-122.401131435 37.731258509),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,87,2
26948000,MAPLE,ST,26948000,POINT (-122.455049757 37.786208781),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,31,10,8
26213000,DELMAR,ST,26213000,POINT (-122.444926737 37.765492155),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,3,112,7
51483000,MARINE,DR,51483000,POINT (-122.476602319 37.810681109),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
22345000,AMETHYST,WAY,22345000,POINT (-122.446852776 37.746123269),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,57,9
27251000,CLEMENT,ST,27251000,POINT (-122.463350526 37.782989204),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,11,5,8
23929000,HARRISON,ST,23929000,POINT (-122.406295965 37.775514154),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
25092000,PLEASANT,ST,25092000,POINT (-122.412739418 37.792992282),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,16,6
21268000,POWHATTAN,AVE,21268000,POINT (-122.41569242 37.741608909),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
22882000,CLAREMONT,BLVD,22882000,POINT (-122.463685996 37.74374941),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,45,10
27316000,18TH,AVE,27316000,POINT (-122.475146549 37.750557088),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,14,44,10
26930000,GEARY,BLVD,26930000,POINT (-122.454175993 37.781598822),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,18,11,8
25176000,POLK,ST,25176000,POINT (-122.419181704 37.7831014),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,20,4
24014000,18TH,ST,24014000,POINT (-122.410118191 37.76175942),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
51133000,BELLE,AVE,51133000,POINT (-122.470792509 37.708679307),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,24,65,10
22732000,HOLLOWAY,AVE,22732000,POINT (-122.469739692 37.721644376),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,67,10
21641000,VIENNA,ST,21641000,POINT (-122.426911706 37.725151044),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
33288000,MARTIN,AVE,33288000,POINT (-122.406024387 37.745634672),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,60,9
25819000,18TH,ST,25819000,POINT (-122.438265382 37.760692318),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,115,3
21831000,PARK,ST,21831000,POINT (-122.424235083 37.73673748),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,2,61,9
25999000,PIERCE,ST,25999000,POINT (-122.433734773 37.771688274),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,3,26,4
33674000,INDUSTRIAL,ST,33674000,POINT (-122.406910504 37.737965867),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,82,2
22654000,OCEAN,AVE,22654000,POINT (-122.460234463 37.724748848),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,24,64,10
28030000,LAKE,ST,28030000,POINT (-122.492080319 37.786381706),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,33,1,8
20985000,BURROWS,ST,20985000,POINT (-122.420861151 37.724454214),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,7,92,9
25512000,UNION,ST,25512000,POINT (-122.419048779 37.799198438),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,32,107,6
26190000,17TH,ST,26190000,POINT (-122.444195856 37.76194677),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,115,7
27723000,34TH,AVE,27723000,POINT (-122.49293687 37.759122915),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
51214000,GORGAS,AVE,51214000,POINT (-122.449297914 37.801278613),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
33723000,GENEVA,AVE,33723000,POINT (-122.432857502 37.712914374),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,58,9
24153000,20TH,ST,24153000,POINT (-122.421271729 37.758498509),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
25595000,BEACH,ST,25595000,POINT (-122.417260631 37.807072514),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,23,99,6
23536000,26TH,ST,23536000,POINT (-122.387633975 37.751559604),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,56,2
26441000,OAK,ST,26441000,POINT (-122.453902455 37.771053838),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,12,24,7
25296000,LARKIN,ST,25296000,POINT (-122.419221736 37.791704015),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,16,6
20450000,CARROLL,AVE,20450000,POINT (-122.389619541 37.722851442),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
27836000,BALBOA,ST,27836000,POINT (-122.490886463 37.776008809),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
50216000,TIMOTHY PFLUEGER,PL,50216000,POINT (-122.40788644 37.789854873),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,8,19,6
28013000,48TH,AVE,28013000,POINT (-122.509432941 37.77985107),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,6,8
22178000,NIAGARA,AVE,22178000,POINT (-122.448675244 37.719844089),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
26429000,SHRADER,ST,26429000,POINT (-122.451675937 37.768445526),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,3,29,7
54114000,UNNAMED 193,,54114000,POINT (-122.388992142 37.711337341),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,79,2
25468000,TAYLOR,ST,25468000,POINT (-122.414876785 37.803542325),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,23,106,6
22161000,EDNA,ST,22161000,POINT (-122.446573476 37.73069925),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,95,9
25973000,FILLMORE,ST,25973000,POINT (-122.43214039 37.780496261),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,39,97,4
51332000,UNNAMED 078,,51332000,POINT (-122.473885628 37.807129458),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
24193000,HAMPSHIRE,ST,24193000,POINT (-122.408582312 37.767028389),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,20,53,3
22747000,URBANO,DR,22747000,POINT (-122.466283797 37.725446682),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,67,10
51492000,FORT MILEY 3,,51492000,POINT (-122.502625317 37.781567554),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,17,7,
23875000,07TH,ST,23875000,POINT (-122.404748493 37.774281041),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
26109000,MARKET,ST,26109000,POINT (-122.442243502 37.756754584),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,38,115,3
21078000,JARBOE,AVE,21078000,POINT (-122.413991439 37.738348875),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
23664000,19TH,ST,23664000,POINT (-122.395437999 37.761358587),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,54,2
26796000,MARINA GREEN,DR,26796000,POINT (-122.442209785 37.805786275),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
33251000,ELMIRA,ST,33251000,POINT (-122.403876351 37.737554659),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,82,2
27338000,ORTEGA,ST,27338000,POINT (-122.479557564 37.752234616),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
52225000,ASHTON,AVE,52225000,POINT (-122.462245294 37.71876779),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,64,10
50179000,TRENTON,ST,50179000,POINT (-122.408989183 37.795280966),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,6,104,6
21201000,ANDOVER,ST,21201000,POINT (-122.41669582 37.736316942),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,61,9
27309000,16TH,AVE,27309000,POINT (-122.473002684 37.750651553),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,14,44,10
22472000,FARALLONES,ST,22472000,POINT (-122.456061425 37.714076761),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
27002000,BRODERICK,ST,27002000,POINT (-122.444704269 37.800695734),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
23292000,30TH,AVE,23292000,POINT (-122.487866157 37.748125302),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
25284000,BROADWAY,,25284000,POINT (-122.416839399 37.796595703),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,32,107,6
21029000,BRADFORD,ST,21029000,POINT (-122.409761838 37.736858396),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
22101000,SAN JOSE,AVE,22101000,POINT (-122.443065876 37.724988297),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,94,9
26695000,VAN NESS,AVE,26695000,POINT (-122.424731259 37.802280984),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,107,4
23831000,03RD,ST,23831000,POINT (-122.395843499 37.781321257),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
33054000,24TH,ST,33054000,POINT (-122.383074136 37.754349706),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,56,2
27150000,08TH,AVE,27150000,POINT (-122.465244895 37.764083778),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,14,109,10
53003000,WILLIE B KENNEDY,DR,53003000,POINT (-122.382609043 37.732898281),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
50569000,ORD,CT,50569000,POINT (-122.439609799 37.763487643),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,113,7
20736000,SCOTIA,AVE,20736000,POINT (-122.400565512 37.732861381),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,87,2
26793000,RETIRO,WAY,26793000,POINT (-122.438187217 37.805158845),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
20796000,MILTON I ROSS,ST,20796000,POINT (-122.397748671 37.744469173),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,85,2
33023000,ABBEY,ST,33023000,POINT (-122.427240111 37.763798305),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,37,3
54215000,DIAMOND COVE,TER,54215000,POINT (-122.395243598 37.713077623),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,79,2
52004000,CARNELIAN,WAY,52004000,POINT (-122.439708904 37.747802384),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,57,3
30746000,FELL,ST,30746000,POINT (-122.417501463 37.776540894),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,36,21,5
50283000,FORT MASON 16,,50283000,POINT (-122.427302425 37.804966434),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,98,
34125000,REEVES,CT,34125000,POINT (-122.376640231 37.829089341),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,36,1
26998000,DIVISADERO,ST,26998000,POINT (-122.443791967 37.804637873),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
21589000,ALEMANY,BLVD,21589000,POINT (-122.454885126 37.710478554),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,66,9
23980000,TREAT,AVE,23980000,POINT (-122.412838554 37.750968089),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
25925000,HAYES,ST,25925000,POINT (-122.4245137 37.776687556),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,9,22,4
34064000,06TH TI,ST,34064000,POINT (-122.366540987 37.82463619),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,36,1
